kode_barang,nama_barang,stok,nama_bagian
BRG-0252,"Barang Contoh Ke-252",281,"Tata Usaha"
BRG-0253,"Barang Contoh Ke-253",22,"Penataan dan Pemberdayaan"
BRG-0254,"Barang Contoh Ke-254",117,"Survei dan Pemetaan"
BRG-0255,"Barang Contoh Ke-255",174,"Penataan dan Pemberdayaan"
BRG-0256,"Barang Contoh Ke-256",300,"Survei dan Pemetaan"
BRG-0257,"Barang Contoh Ke-257",185,"Pengendalian dan Penanganan Sengketa"
BRG-0258,"Barang Contoh Ke-258",77,"Pengendalian dan Penanganan Sengketa"
BRG-0259,"Barang Contoh Ke-259",222,"Penetapan Hak dan Pendaftaran"
BRG-0260,"Barang Contoh Ke-260",496,"Pengendalian dan Penanganan Sengketa"
BRG-0261,"Barang Contoh Ke-261",207,"Pengadaan Tanah dan Pengembangan"
BRG-0262,"Barang Contoh Ke-262",483,"Pengadaan Tanah dan Pengembangan"
BRG-0263,"Barang Contoh Ke-263",399,"Penataan dan Pemberdayaan"
BRG-0264,"Barang Contoh Ke-264",195,"Penetapan Hak dan Pendaftaran"
BRG-0265,"Barang Contoh Ke-265",138,"Survei dan Pemetaan"
BRG-0266,"Barang Contoh Ke-266",125,"Survei dan Pemetaan"
BRG-0267,"Barang Contoh Ke-267",195,"Penetapan Hak dan Pendaftaran"
BRG-0268,"Barang Contoh Ke-268",145,"Pengendalian dan Penanganan Sengketa"
BRG-0269,"Barang Contoh Ke-269",466,"Penataan dan Pemberdayaan"
BRG-0270,"Barang Contoh Ke-270",234,"Penataan dan Pemberdayaan"
BRG-0271,"Barang Contoh Ke-271",259,"Pengadaan Tanah dan Pengembangan"
BRG-0272,"Barang Contoh Ke-272",149,"Penetapan Hak dan Pendaftaran"
BRG-0273,"Barang Contoh Ke-273",91,"Pengendalian dan Penanganan Sengketa"
BRG-0274,"Barang Contoh Ke-274",288,"Survei dan Pemetaan"
BRG-0275,"Barang Contoh Ke-275",72,"Survei dan Pemetaan"
BRG-0276,"Barang Contoh Ke-276",481,"Penataan dan Pemberdayaan"
BRG-0277,"Barang Contoh Ke-277",376,"Penataan dan Pemberdayaan"
BRG-0278,"Barang Contoh Ke-278",35,"Tata Usaha"
BRG-0279,"Barang Contoh Ke-279",434,"Tata Usaha"
BRG-0280,"Barang Contoh Ke-280",254,"Survei dan Pemetaan"
BRG-0281,"Barang Contoh Ke-281",330,"Pengadaan Tanah dan Pengembangan"
BRG-0282,"Barang Contoh Ke-282",161,"Survei dan Pemetaan"
BRG-0283,"Barang Contoh Ke-283",440,"Penetapan Hak dan Pendaftaran"
BRG-0284,"Barang Contoh Ke-284",239,"Penataan dan Pemberdayaan"
BRG-0285,"Barang Contoh Ke-285",29,"Penataan dan Pemberdayaan"
BRG-0286,"Barang Contoh Ke-286",239,"Tata Usaha"
BRG-0287,"Barang Contoh Ke-287",180,"Survei dan Pemetaan"
BRG-0288,"Barang Contoh Ke-288",421,"Pengadaan Tanah dan Pengembangan"
BRG-0289,"Barang Contoh Ke-289",333,"Pengadaan Tanah dan Pengembangan"
BRG-0290,"Barang Contoh Ke-290",97,"Pengadaan Tanah dan Pengembangan"
BRG-0291,"Barang Contoh Ke-291",319,"Pengadaan Tanah dan Pengembangan"
BRG-0292,"Barang Contoh Ke-292",457,"Pengendalian dan Penanganan Sengketa"
BRG-0293,"Barang Contoh Ke-293",494,"Penetapan Hak dan Pendaftaran"
BRG-0294,"Barang Contoh Ke-294",488,"Pengadaan Tanah dan Pengembangan"
BRG-0295,"Barang Contoh Ke-295",85,"Pengadaan Tanah dan Pengembangan"
BRG-0296,"Barang Contoh Ke-296",31,"Survei dan Pemetaan"
BRG-0297,"Barang Contoh Ke-297",35,"Pengendalian dan Penanganan Sengketa"
BRG-0298,"Barang Contoh Ke-298",434,"Penetapan Hak dan Pendaftaran"
BRG-0299,"Barang Contoh Ke-299",242,"Penetapan Hak dan Pendaftaran"
BRG-0300,"Barang Contoh Ke-300",132,"Penetapan Hak dan Pendaftaran"
BRG-0301,"Barang Contoh Ke-301",246,"Pengadaan Tanah dan Pengembangan"
BRG-0302,"Barang Contoh Ke-302",284,"Penataan dan Pemberdayaan"
BRG-0303,"Barang Contoh Ke-303",439,"Pengendalian dan Penanganan Sengketa"
BRG-0304,"Barang Contoh Ke-304",327,"Survei dan Pemetaan"
BRG-0305,"Barang Contoh Ke-305",394,"Pengendalian dan Penanganan Sengketa"
BRG-0306,"Barang Contoh Ke-306",427,"Pengendalian dan Penanganan Sengketa"
BRG-0307,"Barang Contoh Ke-307",368,"Tata Usaha"
BRG-0308,"Barang Contoh Ke-308",376,"Penetapan Hak dan Pendaftaran"
BRG-0309,"Barang Contoh Ke-309",164,"Penetapan Hak dan Pendaftaran"
BRG-0310,"Barang Contoh Ke-310",302,"Pengadaan Tanah dan Pengembangan"
BRG-0311,"Barang Contoh Ke-311",138,"Tata Usaha"
BRG-0312,"Barang Contoh Ke-312",431,"Survei dan Pemetaan"
BRG-0313,"Barang Contoh Ke-313",370,"Survei dan Pemetaan"
BRG-0314,"Barang Contoh Ke-314",445,"Tata Usaha"
BRG-0315,"Barang Contoh Ke-315",230,"Pengendalian dan Penanganan Sengketa"
BRG-0316,"Barang Contoh Ke-316",225,"Pengadaan Tanah dan Pengembangan"
BRG-0317,"Barang Contoh Ke-317",245,"Penataan dan Pemberdayaan"
BRG-0318,"Barang Contoh Ke-318",329,"Tata Usaha"
BRG-0319,"Barang Contoh Ke-319",188,"Tata Usaha"
BRG-0320,"Barang Contoh Ke-320",313,"Pengadaan Tanah dan Pengembangan"
BRG-0321,"Barang Contoh Ke-321",277,"Penataan dan Pemberdayaan"
BRG-0322,"Barang Contoh Ke-322",260,"Penataan dan Pemberdayaan"
BRG-0323,"Barang Contoh Ke-323",57,"Penataan dan Pemberdayaan"
BRG-0324,"Barang Contoh Ke-324",90,"Pengendalian dan Penanganan Sengketa"
BRG-0325,"Barang Contoh Ke-325",96,"Penetapan Hak dan Pendaftaran"
BRG-0326,"Barang Contoh Ke-326",135,"Tata Usaha"
BRG-0327,"Barang Contoh Ke-327",69,"Survei dan Pemetaan"
BRG-0328,"Barang Contoh Ke-328",318,"Pengendalian dan Penanganan Sengketa"
BRG-0329,"Barang Contoh Ke-329",261,"Tata Usaha"
BRG-0330,"Barang Contoh Ke-330",142,"Penetapan Hak dan Pendaftaran"
BRG-0331,"Barang Contoh Ke-331",269,"Tata Usaha"
BRG-0332,"Barang Contoh Ke-332",240,"Survei dan Pemetaan"
BRG-0333,"Barang Contoh Ke-333",198,"Penetapan Hak dan Pendaftaran"
BRG-0334,"Barang Contoh Ke-334",26,"Pengadaan Tanah dan Pengembangan"
BRG-0335,"Barang Contoh Ke-335",392,"Penetapan Hak dan Pendaftaran"
BRG-0336,"Barang Contoh Ke-336",480,"Pengendalian dan Penanganan Sengketa"
BRG-0337,"Barang Contoh Ke-337",205,"Pengendalian dan Penanganan Sengketa"
BRG-0338,"Barang Contoh Ke-338",495,"Penataan dan Pemberdayaan"
BRG-0339,"Barang Contoh Ke-339",279,"Penetapan Hak dan Pendaftaran"
BRG-0340,"Barang Contoh Ke-340",135,"Survei dan Pemetaan"
BRG-0341,"Barang Contoh Ke-341",59,"Pengadaan Tanah dan Pengembangan"
BRG-0342,"Barang Contoh Ke-342",354,"Tata Usaha"
BRG-0343,"Barang Contoh Ke-343",351,"Tata Usaha"
